year,category,nominee,workers,winner
1964,"Best Documentary, Spoken Word, or Drama Recording (Other Than Comedy)",Who's Afraid Of Virginia Woolf?.,"Uta Hagen (artist), Arthur Hill (artist), George Grizzard (artist), Melinda Dillon (artist)",TRUE
1964,Best Engineered Recording- Classical,Puccini: Madama Butterfly.,"Erich Leinsdorf (conductor), Lewis W. Layton (engineer)",TRUE
1964,Best Engineered Recording- Other than Classical,Charade.,"James Malloy (engineer), Henry Mancini (artist)",TRUE
1964,Best Engineered Recording- Special or Novel Effects,"The Civil War, Vol. II.","C. Robert Fine (engineer), Frederick Fennell (artist)",TRUE
1964,Best Folk Recording,Blowin' In The Wind.,Peter Paul & Mary (artists),TRUE
1964,Best Gospel Or Other Religious Recording (Musical),Dominique.,Soeur Sourire (artist),TRUE
1964,Best Instrumental Arrangement,I Can't Stop Loving You.,"Count Basie (artist), Quincy Jones (arranger)",TRUE
1964,Best Instrumental Jazz Performance- Large Group,"Encore: Woody Herman, 1963.",Woody Herman (artist),TRUE
1964,Best Instrumental Jazz Performance- Soloist or Small Group,Conversations With Myself.,Bill Evans (artist),TRUE
1964,Best Instrumental Theme,More - Theme From Mondo Cane.,"Vic Dana (artist), Norman Newell (composer), Nino Oliviero (composer), Riz Ortolani (composer)",TRUE
1964,Best New Artist Of 1963,Ward Swingle.,The Swingle Singers (artists),TRUE
1964,Best Opera Recording,Puccini: Madama Butterfly.,"RCA Italiana Opera Orchestra (artists), Erich Leinsdorf (artist)",TRUE
1964,Best Original Jazz Composition,Gravy Waltz.,"Steve Allen (artist/composer), Ray Brown (composer)",TRUE
1964,Best Original Score from a Motion Picture or Television Show,Tom Jones,John Addison,TRUE
1964,Best Original Score from a Motion Picture or Television Show,Lawrence of Arabia,Maurice Jarre,FALSE
1964,Best Performance by a Chorus,Bach's Greatest Hits.,Ward Swingle (artist),TRUE
1964,Best Performance by a Vocal Group,Blowin' In The Wind.,Peter Paul & Mary (artists),TRUE
1964,Best Performance by an Orchestra or Instrumentalist with Orchestra- Primarily Not Jazz Or For Dancing,Java.,Al Hirt (artist),TRUE
1964,Best Performance by an Orchestra- For Dancing,This Time By Basie! Hits Of The 50's And 60's.,Count Basie (artist),TRUE
1964,Best Recording for Children,Bernstein Conducts For Young People.,Leonard Bernstein (artist),TRUE
1964,Best Rhythm & Blues Recording,Busted.,Ray Charles (artist),TRUE
1964,Best Rock & Roll Recording,Deep Purple.,"April Stevens (artist), Nino Tempo (artist)",TRUE
1964,Best Score From An Original Cast Show Album,She Loves Me.,"Jerry Bock (composer), Sheldon Harnick (composer), Barbara Cook (artist), Barbara Baxley (artist), Jack Cassidy (artist), Daniel Massey (artist), Nathaniel Frey (artist), Ralph Williams (artist), Jo Wilder (artist)",TRUE
1964,"Best Vocal Performance, Female",The Barbra Streisand Album.,Barbra Streisand (artist),TRUE
1964,"Best Vocal Performance, Male",Wives And Lovers.,Jack Jones (artist),TRUE
1964,Classical Album Of the Year,Britten: War Requiem.,Benjamin Britten (artist),TRUE
1964,Most Promising New Classical Recording Artist,Liszt: Concerto No. 1 For Piano & Orchestra.,"Leonard Bernstein (artist), New York Philharmonic (artists)",TRUE
1964,Record of the Year,Days Of Wine And Roses.,Henry Mancini (artist),TRUE
1964,Song of the Year,Days Of Wine And Roses.,"Henry Mancini (artist/songwriter), Johnny Mercer (songwriter)",TRUE
1965,Album of the Year,Getz/Gilberto,"João Gilberto (artist), Stan Getz (artist)",TRUE
1965,Album of the Year -- Classical,Bernstein: Symphony No. 3 Kaddish,Leonard Bernstein (artist),TRUE
1965,Best Accompaniment Arrangement for Vocalist(s) or Instrumentalist(s),People,"Peter Matz (arranger), Barbra Streisand (artist)",TRUE
1965,Best Album Cover- Other Than Classical,People,"Don Bronstein (photographer), Barbra Streisand (artist), Bob Cato (art director)",TRUE
1965,Best Album Notes,Mexico (Legacy Collection),"Carlos Chavez (artist), Caitlin Shannon (album notes writer), Carleton Beals (album notes writer)",TRUE
1965,Best Chamber Music Performance - Vocal,It Was A Lover And His Lass,Noah Greenberg (artist),TRUE
1965,Best Chamber Performance - Instrumental,"Beethoven: Trio No. 1 In E Flat, Op. 1 #1","Gregor Piatigorsky (artist), Jascha Heifetz (artist)",TRUE
1965,Best Choral Performance (other than opera),Britten: A Ceremony Of Carols,Robert Shaw Chorale (artist),TRUE
1965,Best Comedy Performance,I Started Out as a Child,Bill Cosby,TRUE
1965,Best Composition by a Contemporary Composer,Barber: Piano Concerto,Samuel Barber (composer),TRUE
1965,Best Country & Western Album,Dang Me/Chug-A-Lug,Roger Miller (artist),TRUE
1965,Best Country & Western Single,Dang Me,Roger Miller (artist),TRUE
1965,Best Country & Western Song,Dang Me,Roger Miller (songwriter),TRUE
1965,Best Country & Western Vocal Performance - Female,Here Comes My Baby,Dottie West (artist),TRUE
1965,Best Country & Western Vocal Performance - Male,Dang Me,Roger Miller (artist),TRUE
1965,"Best Documentary, Spoken Word or Drama Recording (other than comedy)","BBC Tribute To John F. Kennedy (That Was The Week That Was, Cast)",,TRUE
1965,Best Engineered Recording,Britten: Young Person's Guide To The Orchestra,"Carlo Maria Giulini (conductor), Douglas Larter (engineer)",TRUE
1965,Best Engineered Recording - Non-Classical,Getz/Gilberto,"João Gilberto (artist), Stan Getz (artist), Phil Ramone (engineer)",TRUE
1965,Best Engineered Recording - Special or Novel Effects,The Chipmunks Sing The Beatles,"The Chipmunks (artist), Dave Hassinger (engineer)",TRUE
1965,Best Folk Recording,We'll Sing In The Sunshine,Gale Garnett (artist),TRUE
1965,Best Gospel or Other Religious Recording (Musical),Great Gospel Songs,Tennessee Ernie Ford (artist),TRUE
1965,Best Instrumental Arrangement,The Pink Panther,Henry Mancini (arranger),TRUE
1965,Best Instrumental Composition (other than jazz),The Pink Panther Theme,Henry Mancini (composer),TRUE
1965,Best Instrumental Jazz Performance - Large Group or Soloist with Large Group,Guitar From Ipanema,Laurindo Almeida (artist),TRUE
1965,Best Instrumental Jazz Performance - Small Group or Soloist with Small Group,Getz/Gilberto,Stan Getz (artist),TRUE
1965,Best Instrumental Performance - Non-Jazz,The Pink Panther,Henry Mancini (artist),TRUE
1965,Best New Artist,The Beatles (artist),,TRUE
1965,Best Opera Recording,Bizet: Carmen,"Vienna Philharmonic Orchestra and Chorus (artist), Herbert von Karajan (artist)",TRUE
1965,Best Original Jazz Composition,The Cat,Lalo Schifrin (composer),TRUE
1965,Best Original Score Written for a Motion Picture or Television Show,Mary Poppins,"Richard M. Sherman, Robert B. Sherman",TRUE
1965,Best Original Score Written for a Motion Picture or Television Show,Goldfinger,John Barry,FALSE
1965,Best Original Score Written for a Motion Picture or Television Show,The Pink Panther,Henry Mancini,FALSE
1965,Best Performance - Instrumental Soloist or Soloists (with orchestra),Prokofiev: Violin Concerto No. 1 In D,"The Philadelphia Orchestra (artist), Isaac Stern (artist)",TRUE
1965,Best Performance - Instrumental Soloist or Soloists (without orchestra),"Vladimir Horowitz Plays Beethoven, Debussy, Chopin",Vladimir Horowitz (artist),TRUE
1965,Best Performance - Orchestra,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts,Boston Symphony Orchestra (artist),TRUE
1965,Best Performance by a Chorus,The Swingle Singers Going Baroque,"Ward Swingle (artist), The Swingle Singers (artist)",TRUE
